Gene1,Gene2,corVal,pValue
PF4V1,CRNN,0.145267969689753,2.17388884170148e-322
PADI3,KCNK13,0.145064109441188,1.73911107336119e-321
SPRR2F,CLEC1B,0.144970270346266,4.54540394173947e-321
IGLL1,PAQR9,0.14475578702791,4.07999410335701e-320
SLC4A1,GYPB,0.144701436661765,7.11059277494722e-320
GYPB,SLC4A1,0.144701436661423,7.11059277494722e-320
CLEC1B,RNASE3,0.144671121023298,9.69159170882189e-320
CST5,CNTN6,0.144500074528889,5.55685513190567e-319
AC113554.1,PRG2,0.144335984665073,2.96154805692743e-318
NWD1,CRYM,0.144190636287098,1.30165151669526e-317
KCNH7,MAGEC2,0.14409445537652,3.46416103844173e-317
CNTN6,C2orf88,0.143816782073804,5.8238611514382e-316
KRT13,KRT14,0.143806183072553,6.48552048482845e-316
KRT14,KRT13,0.143806183072426,6.48552048482845e-316
DUOXA2,RASSF9,0.143773707532501,9.01811610381944e-316
PADI3,DUSP15,0.143649822789365,3.16929353067054e-315
MAB21L2,PCSK2,0.143503973843292,1.38981697388959e-314
PTGDR2,FSTL4,0.143446049195819,2.49885434542112e-314
FSTL4,PTGDR2,0.143446049195819,2.49885434542112e-314
CYP19A1,FCN1,0.14338185735248,4.78592279172522e-314
FCN1,CYP19A1,0.143381857352403,4.78592279567775e-314
FLG,NWD1,0.143371564698479,5.31136275725034e-314
OPRK1,DEFA3,0.143319118772082,9.02971462884394e-314
MT-ND2,MT-ND1,0.143112618727256,7.28221951631189e-313
MT-ND1,MT-ND2,0.143112618727255,7.2822195164107e-313
F2,PEAR1,0.143111771779395,7.34478843426149e-313
C2orf73,PKLR,0.143054125969691,1.31466542148614e-312
BPIFB1,SST,0.142991160217636,2.48235272784808e-312
RHCG,PKLR,0.142964517491655,3.24810336911528e-312
DUOXA2,BGLAP,0.142941777299687,4.08577791910447e-312
IL33,ITIH3,0.142905567089119,5.88721255202034e-312
ITIH3,IL33,0.142905567089054,5.88721255591358e-312
APOA2,ALB,0.14288435247063,7.29172665687261e-312
ALB,APOA2,0.142884352470545,7.29172666313737e-312
