PB-16-002	PB-16-003	PB-16-004	PB-16-005	PB-16-018	PB-16-019	PB-16-020	PB-16-021	PB-16-022	PB-16-023	PB-16-024	PB-16-025	PB-16-029	PB-16-030	PB-16-031	PB-16-032	PB-16-034	PB-16-035	PB-16-037	PB-16-038	PB-16-039	PB-16-040	PB-16-041	PB-16-042	PB-16-043	PB-16-044	PB-16-045	PB-16-047	PB-16-048	PB-16-049	PB-16-051	PB-16-052	PB-16-054	PB-16-055	PB-16-056	PB-16-057	PB-16-059	PB-16-060	PB-16-062	PB-16-063	PB-16-064	PB-16-066	PB-16-067	PB-16-068	PB-16-069
Activated CD8 T cell	0.262812025064098	0.174505663153831	0.0302069041973377	0.00813863609657721	0.102450668866667	0.0685320232318604	0.0530840206935167	0.0282246818566774	0.0760378106864604	0.187075670166661	0.0360882846561133	0.0960681332181982	0.184488827788145	0.293753842381259	0.254932936202652	0.171956728375882	0.0254818978765635	-0.0195579637715452	0.135139866946788	0.299165797429175	0.0281804094288503	0.0343057048455483	0.131642608747361	0.113712134428183	0.0930288403887896	0.168768026160937	-0.0814621375484443	0.119580676650768	0.224104431514957	0.278292551538871	0.148872554030913	0.109416033517831	0.144717634481035	0.0315459028831379	0.0347979171069178	0.115394233928522	0.157141895215639	0.404565000875536	0.404784027860609	0.141428859426395	0.295212630513838	0.244456377917243	0.280361307127361	0.337268199405168	0.269070054451566
Central memory CD8 T cell	0.119455934270471	0.18195317488974	0.074638419152253	0.141996694660719	0.0732465489581863	0.270237761523919	0.377772219845028	0.435329270896427	0.200442897294029	-0.117645161109129	0.325752120676095	0.11909051152029	0.253817998932787	0.106715179981406	0.132979474080755	0.360526100770914	0.0577429206555364	0.245922635667784	0.0454171952420937	0.196288883502961	0.0767436214480031	-0.0321717009723769	0.0727600458887552	0.341756077678729	0.290808716205825	-0.02435618617061	0.067758502004042	0.184485910272922	0.0726821673877558	-0.0903489820435746	0.0378978263850772	0.172301687914132	0.244569663352163	0.145360842203091	0.0417958097410073	0.223803260820072	0.273712451879276	0.390607271885546	-0.0299716168183493	0.0213462321760943	-0.127734721629097	0.10104767925463	-0.0353915892991108	-0.0157463681623108	0.155088586234966
Effector memeory CD8 T cell	0.297593217484871	0.0462496840636609	0.154350389191811	-0.0133786828883899	0.189437118914572	0.00159593433301399	0.102283545959604	-0.0581457816353769	0.167882970902962	0.266529905411474	0.360323905866155	0.25339921691365	0.282977916313662	0.129931056432085	0.14839105994399	0.343005565666952	0.227140960996341	0.213280677272149	0.0143878079696484	0.202528452163844	0.00609422140006354	0.129126972621564	-0.0748093959048498	0.0239933319916542	0.170348103250265	0.0753638199004388	0.261217801184028	0.128673486343678	0.256746053930563	0.0901985288929221	0.169595617234939	0.0817131254559287	0.14270044847697	-0.0280282956282208	0.0721307169113098	0.292407266123672	0.200938787514067	-0.0296023190050628	0.329846432692561	0.184020606023232	0.277083841224537	0.347424217614017	0.323749586399994	0.0561172823113707	0.345297163103621
Activated CD4 T cell	0.0962872349118286	0.159050454580024	0.135400767385191	0.00172176171671825	0.137349875834009	0.0471125227470674	0.244188294496595	0.219318170149819	0.161858420261365	0.243690624032591	0.532292086906152	0.074950322312286	0.127022507949856	0.242726374310102	0.315201794763306	-0.0839932759852959	0.241605898779847	0.0608500994378309	0.0200842737116903	0.228890246111986	0.183555506516816	0.018894665648404	0.143352931000404	0.176467350889836	0.167515796744386	0.120167915574151	0.268282088608794	-0.000695476151702007	0.0641797520779546	0.0115685439417684	0.195859498030939	0.31327724386946	0.0311527708596626	0.0693224447877872	0.0868094504446581	0.196386381748582	0.0817337709086508	0.163347993111133	-0.122665595807895	0.169505970007025	-0.0592949275115211	-0.0627289972403592	0.250910722494043	0.247256676877742	0.289512679013842
Central memory CD4 T cell	0.0253162281444914	-0.0381725621679374	0.0265646543969424	0.0949119693484373	-0.113539536816095	0.396650745413817	-0.0532761229963176	0.0603318599128062	0.0402131945909807	0.224552302251358	0.298613679521184	0.260126984860716	0.0452989277621276	0.0781620442537949	0.181772236159161	0.183605945094239	-0.00282208176866358	0.258217951480523	0.0274267505073324	-0.0096309430658928	0.170723258662101	0.0378024427931157	0.213645464014822	0.0377314369554847	0.231237076950832	-0.160798324546075	0.122633414936336	0.183055067075786	-0.106413192382943	0.109119179884446	-0.0306589048689673	-0.0375978451515802	0.253110271399011	-0.0142421129190898	-0.061517107108936	0.196873053053718	0.105053025086948	0.127600432887533	0.169411101908106	0.0214453816603301	0.0383692150011807	0.18308526374111	0.0160348505952474	0.0761996639512217	0.0772602715277127
Effector memeory CD4 T cell	0.104138611292957	0.235639444257779	0.0214616700974061	0.172894511698044	0.235192436661152	-0.0650556425981959	-0.0123220823199688	0.209890791256601	0.157296515975189	0.257125112599129	0.205336416528097	0.211678509376293	0.0991814964672962	0.0966965012342224	0.34416015753036	0.137692166714607	0.25192550005796	0.199134288371799	0.211463739679402	0.00589408177659442	0.283235926619636	0.289697390205942	0.192310864942346	-0.146771551958255	0.0872068109529336	0.0579842828475288	0.155142337203432	0.0770313756010135	0.112371080684718	0.0611676279655379	0.155654417863591	-0.00527417055470651	0.163486647978095	-0.0747436907943324	0.299857861093448	0.29142121159734	-0.0215992390627522	0.195484497911689	0.200230641058582	-0.0883620533666854	0.170172329650487	0.131342077602094	0.114572670618018	-0.0569442860661065	0.161774935980426
T follicular helper cell	0.159020373364859	0.0464246689263013	0.0446669972700867	0.0770916150605159	0.259764271270566	-0.113992791742996	0.331228622465068	0.189892267799696	0.205080719465418	0.00210123147693725	-0.00123660189133287	0.205884252609998	0.158470808078878	-0.0716331753941666	0.170391234851767	0.166470970959884	0.185096309062908	0.0483463660683446	0.0247830799079516	0.157881563004909	0.127373034309914	0.212309559600674	0.257983243385385	0.0508563203258012	0.00732770315288199	0.190497188727491	0.0326721418854237	0.122662619009341	0.0660327015371888	0.10244059408953	0.0261978209922249	0.128874125716797	0.00309045541758194	0.117930214030074	0.134691441218325	0.133755556644172	0.0976854857934962	0.077262781564356	0.373260525387674	0.226360230509377	0.364397782218932	-0.0235963075752895	0.284590748446202	0.260376834050359	0.213937102059765
Gamma delta T cell	0.0454620645106516	0.410731330534395	0.194366009971668	0.135947302206036	0.159557486007254	-0.0103769234062258	0.0532866685515904	0.135964789929482	0.0103654139651454	0.119081913306703	0.173638706873926	0.162235522414317	0.222175439919492	0.18763270060639	0.260472228292393	0.219259645121706	-0.0379987018614329	0.0302368555153479	0.225751635276383	0.14288865849613	0.173391551959548	-0.0963729546240108	0.234275964166201	0.0348196961522554	0.0495631011753211	-0.0383504348212074	0.103732733011387	0.244153816659244	0.326787480415207	0.324461927696278	0.182935788262467	0.172729822529634	-0.00947281562628302	0.229912654551254	0.198387264697511	0.083117297224686	0.188105049254465	0.0590369182637384	0.0802079083980804	0.248519374900501	0.106548572247158	0.210627180062547	0.0285291396222866	0.129705878339286	0.0380181189840566
Type 1 T helper cell	0.0899249932015781	0.0663989391616296	0.0443510730124611	0.0213686469098684	0.0932663427753886	0.170406272297711	0.241630623339491	0.141330590703336	0.128713272751442	0.0955996442842624	0.221933412727776	0.144209500026832	0.271849621047232	0.050076933466987	0.0821993758674773	0.147792552936434	0.0257328926181117	0.132015301419454	0.0942931472066833	0.14159680452679	0.0473898898773902	0.0436236728501972	0.00214613004269633	0.0257180073212172	0.182588467371749	0.121027174621291	0.078011861116905	0.15195288010459	0.0163827035232226	0.0173698434226293	0.0299835170935944	0.0582344259812175	0.240759115779882	-0.0667209572302691	-0.00786549611114378	0.187205552684682	0.237003007812631	0.1623297069541	0.174056773792421	0.190885869024778	0.244331021630584	0.109265763880968	0.16704145541333	0.115162313473815	0.206830998539186
Type 17 T helper cell	0.137048146113709	0.254379236089153	0.198873375569509	0.294675729031189	0.12411208426635	0.213818090113387	0.0205191275516963	-0.031104835174602	-0.0143341271078793	0.0247705876780244	0.138910978463063	0.301302015424358	0.149197743130129	0.249179723563441	0.151976328162892	0.0915266820790641	0.0491143641077552	0.108766883464724	0.270194621215009	0.173323043346105	0.0708911882166865	-0.0216558534546813	0.0886267651959272	0.249419588357791	0.26321253320065	0.164604689043677	0.242637306350171	0.223199604732252	0.369600134373811	0.383337987695335	0.165614105912199	0.146219845512752	0.289443453445128	0.179362088330595	0.141316750961406	0.0935018553530635	-0.0665751981977613	0.17622712097439	0.127361984269442	0.269910763896209	-0.0898724239499804	0.144689178566099	0.0147245760197977	0.024623073779537	0.112600628842692
Type 2 T helper cell	0.127365888312728	0.12771237898443	0.173253309591642	0.136051596112897	0.208305417923098	0.0810395381776774	0.276901603734884	0.273021502159429	0.225378133944407	0.254839184997644	0.180600645614628	0.174057910045297	0.0350561165197213	0.184984968773148	0.370354628116616	0.132112102414258	-0.0280063476766919	-0.0189603536208233	0.147178787126843	-0.0258124716043252	0.178805871821462	0.0355720272504204	0.272833655404221	0.0503216051894205	0.289873238252194	0.0602032263886629	-0.0262021061698953	0.0695012564039339	0.214657993350709	0.311426310958632	0.0741862776730634	0.058232905863418	0.0679673758148943	0.225552882974111	0.372521102884373	0.0937721009591493	-0.0654254003614532	0.27643482962274	0.0163303046653823	0.0617842580376649	0.217192770727073	0.167257816751871	0.047442880776811	0.0412743107016866	0.0859240898154022
